IS_SARCASTIC,TEXT,NO_TAGS,USERNAME,DATE
1,"От нащо ти нагнітаєш? Через місяць же заплановано нове віче! Зараз Зеленський від страху місяць спати не буде. А коли потім 21 листопада збереться віче - це стане останньою крапкою, і він одразу втече в Ростов. А ми заведемо війська назад на позиції, і підемо в НАТО. Все чудово!","От нащо ти нагнітаєш? Через місяць же заплановано нове віче! Зараз Зеленський від страху місяць спати не буде. А коли потім 21 листопада збереться віче - це стане останньою крапкою, і він одразу втече в Ростов. А ми заведемо війська назад на позиції, і підемо в НАТО. Все чудово!",_dopeless,2019-10-29
1,"Вони ж в ""тюрмі народів"", розумієте? Їм треба допомогти! А потім одразу нашим морякам та іншим захопленим в заручники!","Вони ж в ""тюрмі народів"", розумієте? Їм треба допомогти! А потім одразу нашим морякам та іншим захопленим в заручники!",_dopeless,2019-08-13
1,"Порохоботи тут є?!?! Портнова ОХОРОНЯЄ поліція, поки той вільно пересувається Україною!!! За це стояв Майдан???!! Що скажете на це, порохоботи? Чи ваш барига тут знов ні до чого? А? А?","Порохоботи тут є?!?! Портнова ОХОРОНЯЄ поліція, поки той вільно пересувається Україною!!! За це стояв Майдан???!! Що скажете на це, порохоботи? Чи ваш барига тут знов ні до чого? А? А?",_dopeless,2019-05-20
1,"Так це ж цілком нормально - вкласти кудись тисячу доларів, наприклад, а потім вкрасти звідти 50. Хіба ні? Хм...","Так це ж цілком нормально - вкласти кудись тисячу доларів, наприклад, а потім вкрасти звідти 50. Хіба ні? Хм...",_dopeless,2019-04-18
1,"Хай спочатку питання з біженцями вирішать, а потім паради влаштовують! Багато грошей зайвих? Аби попіаритись за гроші платників податків.","Хай спочатку питання з біженцями вирішать, а потім паради влаштовують! Багато грошей зайвих? Аби попіаритись за гроші платників податків.",_dopeless,
1,"Ви дійсно хочете, щоб тереза от так от взяла і зіпсувала свято футболу? Слухайте, ну є ж якісь міжнародні політичні норми. Взаємоповага в решті-решт. Чи ви не розумієте, що будь-які скандали з Росією зараз в першу чергу відіб'ються не на поганому Путіні, а на звичайних росіянах?","Ви дійсно хочете, щоб тереза от так от взяла і зіпсувала свято футболу? Слухайте, ну є ж якісь міжнародні політичні норми. Взаємоповага в решті-решт. Чи ви не розумієте, що будь-які скандали з Росією зараз в першу чергу відіб'ються не на поганому Путіні, а на звичайних росіянах?",_dopeless,
1,"@censor_net На пиздаці написано, що можна вірити (сарказм)","@censor_net На пиздаці написано, що можна вірити ",_DvaR_,2022-02-14 20:07:46+00:00
1,"фінансові питання, і у разі якоїсь критичної ситуації, зателефонувати до соціальної служби (доречі, в Естонії людина взагалі добре соціально захищена), буде намагатися зайняти гроші у дайвінчику/сарказм","фінансові питання, і у разі якоїсь критичної ситуації, зателефонувати до соціальної служби (доречі, в Естонії людина взагалі добре соціально захищена), буде намагатися зайняти гроші у дайвінчику",_EddieMunson8,2022-07-01 19:47:31+00:00
1,@prm_ua Вау! Неочікувано! (Сарказм),@prm_ua Вау! Неочікувано!,_fac_simile_,2020-09-01 10:49:56+00:00
1,"Всі ці 22 години в мене не було можливості вчитися, деградувати в інтернеті і грати в ігри, тому я лише спала (а що ще робити, коли холодно і темно, лол?) та перечитувала «Сонце опівночі» (дякую за відсутність українського перекладу /сарк, я так кацапську ніколи не забуду /срз).","Всі ці 22 години в мене не було можливості вчитися, деградувати в інтернеті і грати в ігри, тому я лише спала (а що ще робити, коли холодно і темно, лол?) та перечитувала «Сонце опівночі» (дякую за відсутність українського перекладу)",_fake_person,2022-11-17 05:05:05+00:00
1,"Нам тільки не вистачало, щоб серби когось там пристрелили на Балканах й почалася третя світова.

*історичний сарказм*","Нам тільки не вистачало, щоб серби когось там пристрелили на Балканах й почалася третя світова.",_farba_,2022-07-31 20:12:38+00:00
1,Людоньки шо ж ви за цибулінг влаштували за те що українці сидять в роснявій мережі де їх не поважають це як взагалі /сарказм,Людоньки шо ж ви за цибулінг влаштували за те що українці сидять в роснявій мережі де їх не поважають це як взагалі,_Glassocation_,2022-09-01 17:12:20+00:00
1,і знов все з початку...класс(це сарказм),і знов все з початку...класс,_hrustuna,2013-12-20 13:24:03+00:00
1,"@_aprelskiy ""нічєго баби єщє нарожают"" 
/сарказм/","@_aprelskiy ""нічєго баби єщє нарожают"" 
",_Just_vira,2022-04-26 20:18:12+00:00
1,"@dashloboda @maxvimservis @ONotevskyi 👏браво.. я дивлюсь, ви обізнані і в численності зсу, і можливостях пво. Ну то треба було вийти і заявити про себе як великого головнокомандувача. #сарказм","@dashloboda @maxvimservis @ONotevskyi 👏браво.. я дивлюсь, ви обізнані і в численності зсу, і можливостях пво. Ну то треба було вийти і заявити про себе як великого головнокомандувача. ",_Kvelen,2023-02-26 17:32:05+00:00
1,"Після перегляду фільму,читаю стрічку новин-вони готові вернутись в Україну,але як автономія.Нащо?У них же все так добре виходить(сарказм)","Після перегляду фільму,читаю стрічку новин-вони готові вернутись в Україну,але як автономія.Нащо?У них же все так добре виходить",_legator,2015-05-11 20:20:31+00:00
1,"@tthoselene623 @Arkee10 @bloombeary Так і є, ви певно просто погано знаєте свою маму/сарк","@tthoselene623 @Arkee10 @bloombeary Так і є, ви певно просто погано знаєте свою маму",_licoris_lady_,2023-02-12 10:38:35+00:00
1,2 січня - це чудовий привід відвідати свою любу школу в такий прекрасний день з чудесною погодою #САРКАЗМ,2 січня - це чудовий привід відвідати свою любу школу в такий прекрасний день з чудесною погодою,_mangooo_,2014-01-02 11:55:37+00:00
1,"@gontsa нє, блін :) Параскевія
*сарказм*
Марія-Ярина","@gontsa нє, блін :) Параскевія
",_Marichka______,2015-02-21 21:06:40+00:00
1,"Співпадіння у стрічці, буває ж таке. І да, що таке Блумберг, хто там йому вірить? От портнов то ж авторитет! #сраказм https://t.co/fi2PM0IiW0","Співпадіння у стрічці, буває ж таке. І да, що таке Блумберг, хто там йому вірить? От портнов то ж авторитет! https://t.co/fi2PM0IiW0",_matteush_,2019-05-21
1,"от той сталін дурний був. 
а треба було лише винести на референдум в сссс питання: чи хочете ви миру з Німеччиною? 
і все, мир. а зеленський голова, додумався! 
#сраказм https://t.co/Z3gcwhwFzi","от той сталін дурний був. 
а треба було лише винести на референдум в сссс питання: чи хочете ви миру з Німеччиною? 
і все, мир. а зеленський голова, додумався! 
https://t.co/Z3gcwhwFzi",_matteush_,2019-05-22
1,"@hu_lviv точно,ми стали забувати - Порошенко ж завжди свічку тримає,коли хтось косячить,краде,вбиває. #сарказм","@hu_lviv точно,ми стали забувати - Порошенко ж завжди свічку тримає,коли хтось косячить,краде,вбиває. ",_mirmex_,2017-03-05 19:36:01+00:00
1,"@o9v6o @censor_net О боже, десь ще залишились хуйові дороги? Не може бути такого у країні де майже всі дороги були хуйові. *сарказм* А ви покатайтесь будь ласка там де вони їх зробили і тоді будем балакать серйозно. Якщо ліньки, або машини нема, то будь ласка:  https://t.co/Q7FkSifxdO","@o9v6o @censor_net О боже, десь ще залишились хуйові дороги? Не може бути такого у країні де майже всі дороги були хуйові. ",_mister_enot_,2022-11-10 00:00:00
1,@Jigit96 @justkotekmeme О так. Захід не має жодних противників військової допомоги для нас... Жодної. І порушення женевської конвенції - ні як на допомогу не вплине. Саме так.  *сарказм*  https://t.co/XbKQwBsAXQ,@Jigit96 @justkotekmeme О так. Захід не має жодних противників військової допомоги для нас... Жодної. І порушення женевської конвенції - ні як на допомогу не вплине. Саме так.,_mister_enot_,2022-11-13 00:00:00
1,"@thanatos_ka Всі чоловіки так думають. Інфа сотка. *сарказм* Боже, ну не будьте ж конченими... Не поширюйте ворожнечу.",@thanatos_ka Всі чоловіки так думають. Інфа сотка.,_mister_enot_,2023-01-07 00:00:00
1,"@MaryTsymbaliuk Ні, бо не можна бути одночасно з декількома партнерами емоційно включеним у відносини.  Ну тобто можна - але вони будуть не повноцінним. Нашо комусь ""неповноцінні"", я не знаю. Хіба шо заради сексу, або від відчаю самотності.  Чудова основа для побудови відносин *сарказм*","@MaryTsymbaliuk Ні, бо не можна бути одночасно з декількома партнерами емоційно включеним у відносини.  Ну тобто можна - але вони будуть не повноцінним. Нашо комусь ""неповноцінні"", я не знаю. Хіба шо заради сексу, або від відчаю самотності.  Чудова основа для побудови відносин ",_mister_enot_,2023-01-09 00:00:00
1,"@Fodorpalaezepa @TwiyKyivstar Тобто велика корпорація тобі не відповіла миттєво і не вирішила зразу всі твої проблеми? Ще й під час війни коли світло бігає то туди то сюди?! От ЩУРИ!
*сарказм*","@Fodorpalaezepa @TwiyKyivstar Тобто велика корпорація тобі не відповіла миттєво і не вирішила зразу всі твої проблеми? Ще й під час війни коли світло бігає то туди то сюди?! От ЩУРИ!
",_Mister_Enot_,2022-11-01 21:18:33+00:00
1,"@GordeyUkr Бачу це дуже по-європейськи. Дуже схоже на їх цінності.
*сарказм*","@GordeyUkr Бачу це дуже по-європейськи. Дуже схоже на їх цінності.
",_Mister_Enot_,2022-11-14 16:16:12+00:00
1,"@oruszhiyEnot @Kharkiv_metro Це ж вина Зеленського. І він нічого не робить щоб це змінити.
*сарказм*","@oruszhiyEnot @Kharkiv_metro Це ж вина Зеленського. І він нічого не робить щоб це змінити.
",_Mister_Enot_,2022-11-15 16:36:52+00:00
1,"@24kava2022 Очевидно збираєтесь на білорусів нападати
*сарказм*","@24kava2022 Очевидно збираєтесь на білорусів нападати
",_Mister_Enot_,2022-11-16 16:15:07+00:00
1,"@ninanik12 @censor_net А, ну тоді давайте все бидло пускати до президента. Бо головне щоб ніхто з журналістів не ображався. Це ж норм, це заєбісь.
*сарказм, іронія і оце все*","@ninanik12 @censor_net А, ну тоді давайте все бидло пускати до президента. Бо головне щоб ніхто з журналістів не ображався. Це ж норм, це заєбісь.",_Mister_Enot_,2023-02-24 18:58:51+00:00
1,"Друга світова в самому розпалі, бомби падають, а люди сидять собі в парах, джаз слухають, жах як так можна! *сарказм*  Але коли завила сирена стало якось дивно, і люди до бомбосховищ побігли🥴  https://t.co/Zjptuch7f6","Друга світова в самому розпалі, бомби падають, а люди сидять собі в парах, джаз слухають, жах як так можна! ",_mors_mordre_,2022-07-20 00:00:00
1,"Коли готую картоплю, я її не чищу, а фігурно вирізаю #сарказм","Коли готую картоплю, я її не чищу, а фігурно вирізаю ",_music_lover_13,2015-08-31 18:32:21+00:00
1,"@bu__ran очевидно, що політикою *сарказм*","@bu__ran очевидно, що політикою ",_music_lover_13,2021-11-25 12:50:31+00:00
1,"Альоооо! Як ви цю систему другий місяць ростягуєте? Спочатку було 15000, потім 20000. Тягніть вже далі до 100000, а там и літо,  мож вакціну дадуть 😏 (сарказм) https://t.co/la8ESc5khE","Альоооо! Як ви цю систему другий місяць ростягуєте? Спочатку було 15000, потім 20000. Тягніть вже далі до 100000, а там и літо,  мож вакціну дадуть 😏 ",_Nata__Li,2020-11-21 12:26:33+00:00
1,@HalinaLviv @lviv1256 Точно. Без виборів же нічого не робиться (сарказм).,@HalinaLviv @lviv1256 Точно. Без виборів же нічого не робиться,_nazurban_,2020-10-24 22:55:40+00:00
1,"@oldyoungman16 Все почалось з пані зі скріну.Вона бажала з'їздити у Р. під час війни Р.проти України.Які ж в неї пріоритети,хмм,незрозуміло(sarc.)Тобі питання на подумати:чому у осіб, які сраку рвуть за слюри в твіттері,знаходять доброзичливі висловлювання про Росію? Гарного дня","@oldyoungman16 Все почалось з пані зі скріну.Вона бажала з'їздити у Р. під час війни Р.проти України.Які ж в неї пріоритети,хмм,незрозуміло",_ol_olqqq,2022-10-23 12:25:49+00:00
1,"Гуляюв 2 ночі від безсоння. Люблю таке🤤
Насправді це сарказм хочеться просто людського поспати більше 2 годин",Гуляюв 2 ночі від безсоння. Люблю таке🤤,_pupa0,2022-01-18 00:02:51+00:00
1,"Добренько, в мене тут зібралося багато родичів рибикарся по інтелекту (це можна вважати гософобним хрещенням/сарк?) так шо тред палання і агресії буде down there. 
Якшо комусь зараз погано — краще обійдеть стороною і відпочиньте, вони не варті ваших нервів🖤
1/12","Добренько, в мене тут зібралося багато родичів рибикарся по інтелекту (це можна вважати гософобним хрещенням",_roks_ua,2022-12-03 16:43:36+00:00
1,"Щєллл, я одягався в аніме-гоміків тому шо сам був гоміком, це не так корелюється🤣

Але риторика вражає.
Ще одна ілюстрація: гомофобам похуй яка в тебе освіта і скільки ти заробляєш, за одне твоє існування ти поширюєш «лайно».

Аніме видно просто до слова попалося, правда?/сарк","Щєллл, я одягався в аніме-гоміків тому шо сам був гоміком, це не так корелюється🤣

Але риторика вражає.
Ще одна ілюстрація: гомофобам похуй яка в тебе освіта і скільки ти заробляєш, за одне твоє існування ти поширюєш «лайно».

Аніме видно просто до слова попалося, правда?",_roks_ua,2023-02-28 12:47:05+00:00
1,@louthaire @007morf Та в нього ж це в одній редакції мкх/сарк,@louthaire @007morf Та в нього ж це в одній редакції мкх,_roks_ua,2023-02-20 20:01:32+00:00
1,"@samspiesonyou Ви шо, це ж вищий пілотаж!!1!1/сарк

Але хіба когось із них це справді їбе?","@samspiesonyou Ви шо, це ж вищий пілотаж!!1!1",_roks_ua,2023-02-17 13:37:43+00:00
1,"Ну проти мужиків же! Бач як ненавидять, ад в туалет не пускають!/сарк /зло","Ну проти мужиків же! Бач як ненавидять, ад в туалет не пускають!",_roks_ua,2023-01-22 21:02:33+00:00
1,@huyuka_hehe ти не розумієш ці кляті транс женщіни хочуть відібрати у справжніх цьіс дєвачєк їхнє право пісяти не на вулиці тому на вході в кожен туалет у світі треба поставити охорону яка б чекала хромосоми жіночність в очах і шо там ще я забула /сарк,@huyuka_hehe ти не розумієш ці кляті транс женщіни хочуть відібрати у справжніх цьіс дєвачєк їхнє право пісяти не на вулиці тому на вході в кожен туалет у світі треба поставити охорону яка б чекала хромосоми жіночність в очах і шо там ще я забула,_rottenbones,2023-02-09 13:43:43+00:00
1,"@NOHEATED @potvorno Та де, він просто поїхавший трохи, дрочив на росію. Але на початку війни продавав картини і кошти біженцям передавав, в нього в інсті пости є. 
Плюс в нього дитина від українки))))(сарказм, бо лобода це ще той перевертень)","@NOHEATED @potvorno Та де, він просто поїхавший трохи, дрочив на росію. Але на початку війни продавав картини і кошти біженцям передавав, в нього в інсті пости є. 
Плюс в нього дитина від українки))))",_Rozmariya,2023-02-23 15:11:37+00:00
1,Ой бля! 😠 Звізно ж нема (сарказм)!!!,Ой бля! 😠 Звізно ж нема,_rukaoblychcha_,2021-01-27
1,"@pora_domoi18 А шо? Маєш мужика - вийобуйся тим, я щітаю!
(сарказм, єслі шо, бо зараз тут не зрозуміють, скажуть, шо кончєна, відпишуться ше)","@pora_domoi18 А шо? Маєш мужика - вийобуйся тим, я щітаю!
",_sgiomlaireachd,2017-07-17 19:20:40+00:00
1,розмір паперу! шо це може буть?? абзац наверно!! :D (сарказм.),розмір паперу! шо це може буть?? абзац наверно!! :D,_sleepontheroof,2014-02-25 18:01:36+00:00
1,@banderenko *сарказм* тільки патріоти божої чоти Азова (\0) та 19245 батальойнів Правого Сектору на чолі з Провідником зупинять війска РФ,@banderenko тільки патріоти божої чоти Азова (\0) та 19245 батальойнів Правого Сектору на чолі з Провідником зупинять війска РФ,_Sovinskiy,2015-12-05 18:04:04+00:00
1,"@serg_south @Libertessa *сарказм* Йому сказали ""або ноги, або Україна"" і  він вибрав Неньку, а не свої ноги.Справжній патріот*сарказм офф*","@serg_south @Libertessa Йому сказали ""або ноги, або Україна"" і  він вибрав Неньку, а не свої ноги.Справжній патріот",_Sovinskiy,2016-06-24 08:47:55+00:00
1,"@gfr_lozt @aglassofviscari @beriFM На співбесіди на кладовище , бо після 35 смерть, підор, кладовище /сарказм","@gfr_lozt @aglassofviscari @beriFM На співбесіди на кладовище , бо після 35 смерть, підор, кладовище ",_Sovinskiy,2021-05-31 07:12:49+00:00
1,"Ну, побачення це ж завжди шоу. А тут просто жива дівчина сидить навпроти. Не цІкАво!*сарказм*  https://t.co/Jee9IKUWb4","Ну, побачення це ж завжди шоу. А тут просто жива дівчина сидить навпроти. Не цІкАво!",_storminaglass,2022-08-07 00:00:00
1,"мені подобаються безменшени в моїй стрічці^^

табличку ""сарказм"" бачите?","мені подобаються безменшени в моїй стрічці^^
",_sunsunsun_,2014-11-23 16:23:28+00:00
1,@FiloSofka94 ти шо червоні троянди в зеленій сітці це ж круто! *сарказм*,@FiloSofka94 ти шо червоні троянди в зеленій сітці це ж круто!,_sunsunsun_,2015-03-07 17:02:14+00:00
1,"Ах йес, давайте ми зробимо мем з мультфільму, побудованому на історичній особистості, який дуже серйозний і побудив багато дітей вивчати історію їх країни, і будемо казати що там сцена гей-сексу, навіть не подивившись сам мультфільм чи не вивчивши історію України 🤭🤭🤭 /сарк","Ах йес, давайте ми зробимо мем з мультфільму, побудованому на історичній особистості, який дуже серйозний і побудив багато дітей вивчати історію їх країни, і будемо казати що там сцена гей-сексу, навіть не подивившись сам мультфільм чи не вивчивши історію України 🤭🤭🤭 ",_ttrya,2022-06-20 11:35:30+00:00
1,@haillu__ Тому шо це в расєї а якщо руські когось геноцидять то норм і за дєло /сарк,@haillu__ Тому шо це в расєї а якщо руські когось геноцидять то норм і за дєло,_ttrya,2023-02-28 13:52:56+00:00
1,"@frostjotunn Яки ж ми, українці,все таки нацики… ех, а треба їх було слухати раніше і не проганяти Яника, можливо тоді асиміляція з рашкою пройшла б і без війни😩😩😩/сарказм/","@frostjotunn Яки ж ми, українці,все таки нацики… ех, а треба їх було слухати раніше і не проганяти Яника, можливо тоді асиміляція з рашкою пройшла б і без війни😩😩😩",_Victorry__,2022-09-24 13:27:07+00:00
1,"@Ola_Suprun за руслана кошулинського

/сарказм/","@Ola_Suprun за руслана кошулинського

",_zanudna_zanuda,2020-09-16 07:49:04+00:00
1,"@eugene_lir дивлячись на нього одразу хочеться стати дівчиною зі срібла троянди

/сарказм/","@eugene_lir дивлячись на нього одразу хочеться стати дівчиною зі срібла троянди

",_zanudna_zanuda,2021-03-04 14:02:45+00:00
1,Оууу Яке біднятко  *сарказм*  https://t.co/uHIlZ7wYsK,Оууу Яке біднятко,@_nana_luv,2020-01-21 00:00:00
1,ВАААУ НІХТО НЕ ОЧІКУВАВ ТАКОГО ПОВОРОТУ/sarc   #LoveAt9EP6  https://t.co/JPEKoqNoix,ВАААУ НІХТО НЕ ОЧІКУВАВ ТАКОГО ПОВОРОТУ,@_shd08,2022-08-10 00:00:00
1,тадададам ніхто такого не очікував /sarc  https://t.co/uGhP33AoS7,тадададам ніхто такого не очікував,@_shd08,2023-01-13 00:00:00
1,"(/Sarc) Хлопець, у якого в біо НЕ стоїть ссилка на донат ЗСУ 🚩🚩🚩🚩🚩🚩"," Хлопець, у якого в біо НЕ стоїть ссилка на донат ЗСУ 🚩🚩🚩🚩🚩🚩",@aanaderas,2022-09-16 00:00:00
1,Знову грузін диверсії проти державності влаштовує! *сарказм*  https://t.co/YWbZUqB1aP,Знову грузін диверсії проти державності влаштовує!,@Aprystay,2017-09-18 00:00:00
1,@therealtwontie Там нема трансів значить це трансфобія /Sarc,@therealtwontie Там нема трансів значить це трансфобія,@bojovij1,2022-07-21 00:00:00
1,@kyroakokiller2 @dukenukke Від формули миру і зустрічей без посередників  *сарказм*,@kyroakokiller2 @dukenukke Від формули миру і зустрічей без посередників,@Celerador,2023-01-15 00:00:00
1,"@halepa_music Подобається дівчина низького зросту? Педофіл! Всі дівчата низького зросту мають лишатися незайманими, щоб не нормалізувати педофілію в суспільстві! /sarcasm/","@halepa_music Подобається дівчина низького зросту? Педофіл! Всі дівчата низького зросту мають лишатися незайманими, щоб не нормалізувати педофілію в суспільстві! ",@Delfrador,2022-09-08 00:00:00
1,"Величезна дяка, та пошана 169 учбовому центру ""Десна"", за якісно навчаних кулеметників 12,7. Особливу увагу, прошу звернути на колір ДТК","Величезна дяка, та пошана 169 учбовому центру ""Десна"", за якісно навчаних кулеметників 12,7. Особливу увагу, прошу звернути на колір ДТК",@donikroman,
1,"Ви тільки уявіть, скільки боргів можна погасити, якщо не відшкодовувати ПДВ з держбюджету!  *сарказм*    https://t.co/LEd7bAfxtz","Ви тільки уявіть, скільки боргів можна погасити, якщо не відшкодовувати ПДВ з держбюджету!  ",@epravda,2018-09-10 00:00:00
1,@ukrreporter @AndriySadovyi Ну навіщо ж лишати осінт-спільноту без хліба. *сарказм*   https://t.co/ZVKHpaU2u1,@ukrreporter @AndriySadovyi Ну навіщо ж лишати осінт-спільноту без хліба.,@Gigerivna,2022-05-04 00:00:00
1,як як ви кажете називається аніме?? а то я шось не поняла /sarc /j  https://t.co/QdXnG7H6f9,як як ви кажете називається аніме?? а то я шось не поняла,@im_infrn,2022-09-03 00:00:00
1,Я роз'єбав свої костяшки і замість того щоб зі мною поговорити мене відхуєсосили за це і сказали що я не хлопець щоб робити таке і що з мене в компанії тепер всі сміються і взагалі мене не хочуть чути і щоб я пішов кудись   I love you too 🥺/sarc,Я роз'єбав свої костяшки і замість того щоб зі мною поговорити мене відхуєсосили за це і сказали що я не хлопець щоб робити таке і що з мене в компанії тепер всі сміються і взагалі мене не хочуть чути і щоб я пішов кудись   I love you too 🥺,@kimonuwu,2022-11-25 00:00:00
1,"Взагалі, стаття НЕ ПРО БАНТАН.   Назва статті ""Строкова служба: за чи проти"". Там наведені приклади країн, у яких є строкова служба, серед них і Південна Корея. І як ""яскравий приклад"" тут вирішили ""вліпити"" наших хлопців, які навіть не підозрюють, що вони вже служать *сарказм*  https://t.co/61GdiyQJrg","Взагалі, стаття НЕ ПРО БАНТАН.   Назва статті ""Строкова служба: за чи проти"". Там наведені приклади країн, у яких є строкова служба, серед них і Південна Корея. І як ""яскравий приклад"" тут вирішили ""вліпити"" наших хлопців, які навіть не підозрюють, що вони вже служать ",@LHopppe,2019-11-15 00:00:00
1,@black_sq_again @YanaNavna вік - не перепона для неадекватності! *сарказм*,@black_sq_again @YanaNavna вік - не перепона для неадекватності!,@Maryallys,2021-05-11 00:00:00
1,Давно пора покарати польщу ВІДІЗВАВШИ усіх українців звідти /сарказм/  https://t.co/Bhg5AwVcOJ,Давно пора покарати польщу ВІДІЗВАВШИ усіх українців звідти,@MazurkevychO,2018-02-02 00:00:00
1,Британський лорд продався за нафтодолари /сарказм/. Казахстан у деяких питаннях показує результати кращі за Україну  https://t.co/6RLrXSdfsr,Британський лорд продався за нафтодолари.,@MazurkevychO,2018-02-05 00:00:00
1,Сакварелідзе - не Луценко. З ним війну не виграєш.   /сарказм/  https://t.co/h2sesrCkTC,Сакварелідзе - не Луценко. З ним війну не виграєш.,@MazurkevychO,2019-03-09 00:00:00
1,дівчата в мені признали сімпку яка тече по мобіус це клініка /sarc  https://t.co/3VfTzObDyM,дівчата в мені признали сімпку яка тече по мобіус це клініка,@N2RSES0FF1CE,2022-08-12 00:00:00
